id,brand,category,price,title,review,rating,image_link,product_link,from_page_link
7837480,OEM,"Thời Trang/Thời trang nữ/Trang phục nữ/Đồ vest nữ/Áo vest, blazer nữ",418000,"Áo Khoác Vest, Blazer Nữ NA23 Sọc Caro",(36 nhận xét),width:87%,https://salt.tikicdn.com/cache/200x296/ts/product/a9/30/ee/98d8da92cc42c9216a41cb4c09b0890f.jpg,https://tiki.vn/ao-khoac-vest-blazer-nu-na23-soc-caro-p7837480.html?src=category-page-914&2hi=1,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
25887777,OEM,"Thời Trang/Thời trang nữ/Phụ kiện nữ/Tất, vớ nữ",34545,Combo 10 đôi tất gấu nữ cổ ngắn cao cấp,(79 nhận xét),width:83%,https://salt.tikicdn.com/cache/200x296/ts/product/d9/54/7a/bf2a0b423115c8623793d3df9930b7ed.jpg,https://tiki.vn/combo-10-doi-tat-gau-nu-co-ngan-cao-cap-p25887777.html?src=category-page-914&2hi=1,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
710785,HARAS,"Thời Trang/Vali - Balo - Túi xách/Cặp, túi nam/Túi đeo chéo nam",35000,Túi Đeo Chéo Nam HARAS HRTK083 (26 x 16.5 cm) - Đen,(204 nhận xét),width:84%,https://salt.tikicdn.com/cache/200x296/media/catalog/product/h/r/hrtk083-1.u5275.d20170707.t103700.256262.jpg,https://tiki.vn/tui-deo-cheo-nam-haras-hrtk083-26-x-16-5-cm-den-p710785.html?src=category-page-914&2hi=1,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
4805279,OEM,"Thời Trang/Thời trang nam/Phụ kiện thời trang nam/Tất, vớ nam",68996,"Tất, vớ cổ ngắn chống hôi chân (Combo 10 đôi)",(234 nhận xét),width:82%,https://salt.tikicdn.com/cache/200x296/ts/product/60/f2/26/3e6a5d356581dca79e38a46f43d7d8f9.jpg,https://tiki.vn/tat-vo-co-ngan-chong-hoi-chan-combo-10-doi-p4805279.html?src=category-page-914&2hi=1,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
20960351,BẢO ĐĂNG,Thời Trang/Thời trang nữ/Trang phục nữ/Áo khoác nữ,79000,"Áo khoác nỉ ,áo khoác hoodie hót ",(53 nhận xét),width:82%,https://salt.tikicdn.com/cache/200x296/ts/product/4a/79/94/8542c0b6b5ed9f527bd4287792d7ad03.jpg,https://tiki.vn/ao-khoac-ni-ao-khoac-hoodie-hot-p20960351.html?src=category-page-914&2hi=0,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
20585233,BẢO ĐĂNG,Thời Trang/Thời trang nam/Trang phục nam/Áo khoác nam,89000,	ÁO KHOÁC NHẸ NAM ,(49 nhận xét),width:83%,https://salt.tikicdn.com/cache/200x296/ts/product/15/4f/1d/8601d1569e48df5654b643e9d5e7f934.jpg,https://tiki.vn/ao-khoac-nhe-nam-dxpecher-in-hinh-hoa-tiet-p20585233.html?src=category-page-914&2hi=0,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
32895440,ZAKADO,Thời Trang/Thời trang nam/Trang phục nam/Áo thun nam,89000,Áo Thun Nam Zakado Cổ Tròn Cao Cấp N1,(61 nhận xét),width:95%,https://salt.tikicdn.com/cache/200x296/ts/product/c0/27/79/d98dfa1458affe2f472316583c76d812.jpg,https://tiki.vn/ao-thun-nam-zakado-co-tron-cao-cap-n1-p32895440.html?src=category-page-914&2hi=1,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
4433517,OEM,"Thời Trang/Thời trang nam/Phụ kiện thời trang nam/Tất, vớ nam",32500,Bộ 5 Đôi Tất Nam Cổ Ngắn Chống Hôi Chân,(130 nhận xét),width:68%,https://salt.tikicdn.com/cache/200x296/ts/product/f4/a1/60/630ca744979e6e32be6abdef6fa22755.jpg,https://tiki.vn/bo-5-doi-tat-nam-co-ngan-chong-hoi-chan-p4433517.html?src=category-page-914&2hi=0,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
26184125,BẢO ĐĂNG,"Thời Trang/Thời trang nam/Trang phục nam/Áo len, áo cardigan nam/Áo hoodie nam",79000,ÁO  KHOÁC HOODIE HỌA  TIẾT RỒNG LỬA  SIÊU  ĐẸP ,(34 nhận xét),width:87%,https://salt.tikicdn.com/cache/200x296/ts/product/bf/4c/fd/2109723c9d0ba11b4bc4e1b0cfbf6daa.jpg,https://tiki.vn/ao-khoac-hoodie-hoa-tiet-rong-lua-sieu-dep-p26184125.html?src=category-page-914&2hi=0,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
28744077,OEM,Thời Trang/Thời trang nữ/Giày dép nữ/Giày sneakers nữ,71000, Giày thể thao kiểu dáng Hàn Quốc cho nữ - W67,(12 nhận xét),width:76%,https://salt.tikicdn.com/cache/200x296/ts/product/57/5b/40/d0243f0f000f0b673a2d6771c94fad41.jpg,https://tiki.vn/giay-the-thao-kieu-dang-han-quoc-cho-nu-w67-p28744077.html?src=category-page-914&2hi=0,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner1
